,지번주소,학교명,보유면적,재학생_전체_계,법정동코드
0,서울특별시 강서구 화곡동,2,99436.0,2141,1150010300
1,서울특별시 관악구 신림동,1,4108394.0,15816,1162010200
2,서울특별시 광진구 광장동,1,63090.0,616,1121510400
3,서울특별시 광진구 군자동,1,120727.0,12414,1121510900
4,서울특별시 광진구 화양동,1,455943.0,15688,1121510700
5,서울특별시 구로구 개봉동,1,18899.0,623,1153010700
6,서울특별시 구로구 고척동,1,36881.0,5783,1153010600
7,서울특별시 구로구 항동,1,39431.0,2038,1153011200
8,서울특별시 노원구 공릉동,3,1049479.0,22578,1135010300
9,서울특별시 노원구 상계동,1,18619.0,1014,1135010500
10,서울특별시 노원구 월계동,2,152321.0,14335,1135010200
11,서울특별시 도봉구 쌍문동,1,170742.0,5385,1132010500
12,서울특별시 동대문구 이문동,1,81199.0,9333,1123011000
13,서울특별시 동대문구 전농동,1,434004.0,8697,1123010400
14,서울특별시 동대문구 회기동,1,351547.0,14567,1123010800
15,서울특별시 동대문구 휘경동,1,49710.0,1265,1123010900
16,서울특별시 동작구 사당동,1,74694.0,1374,1159010700
17,서울특별시 동작구 상도동,1,133951.0,14411,1159010200
18,서울특별시 동작구 흑석동,1,151779.0,18742,1159010500
19,서울특별시 마포구 상수동,1,112653.0,12365,1144011500
20,서울특별시 마포구 신수동,1,208677.0,8100,1144011100
21,서울특별시 서대문구 남가좌동,1,55486.0,7674,1141012000
22,서울특별시 서대문구 냉천동,1,24479.0,604,1141010500
23,서울특별시 서대문구 대현동,1,545068.0,15503,1141011200
24,서울특별시 서대문구 북아현동,1,32681.0,1110,1141011000
25,서울특별시 서대문구 신촌동,1,828528.0,14787,1141011400
26,서울특별시 서대문구 충정로2가,1,19157.0,2103,1141010100
27,서울특별시 서대문구 홍은동,1,33500.0,6622,1141011800
28,서울특별시 서대문구 홍제동,1,4534.0,851,1141011100
29,서울특별시 서초구 반포동,1,86673.0,903,1165010700
30,서울특별시 서초구 서초동,1,82662.0,1444,1165010800
31,서울특별시 성동구 사근동,2,472287.0,23529,1120010600
32,서울특별시 성북구 돈암동,1,101874.0,6587,1129010300
33,서울특별시 성북구 삼선동2가,1,48726.0,6942,1129011200
34,서울특별시 성북구 석관동,1,143768.0,1797,1129013900
35,서울특별시 성북구 안암동5가,1,881440.0,20373,1129012500
36,서울특별시 성북구 정릉동,2,245351.0,21459,1129013300
37,서울특별시 성북구 하월곡동,1,54323.0,6981,1129013600
38,서울특별시 송파구 방이동,1,111902.0,2410,1171011100
39,서울특별시 용산구 보광동,1,25326.0,1158,1117013600
40,서울특별시 용산구 청파동2가,1,68334.0,10348,1117011000
41,서울특별시 은평구 신사동,1,7940.0,413,1138010900
42,서울특별시 종로구 명륜3가,1,140983.0,11155,1111017300
43,서울특별시 종로구 필운동,1,23389.0,2741,1111011300
44,서울특별시 종로구 혜화동,1,51318.0,200,1111016900
45,서울특별시 종로구 홍지동,1,160005.0,6322,1111018500
46,서울특별시 중구 예장동,1,25724.0,3059,1114014200
47,서울특별시 중구 장충동2가,1,169649.0,12569,1114014400
48,서울특별시 중랑구 면목동,1,29399.0,5939,1126010100
